날짜,검색량_비율
2023-01-01,100.0
2023-02-01,66.10169
2023-03-01,72.88135
2023-04-01,59.32203
2023-05-01,81.35593
2023-06-01,64.40677
2023-08-01,30.50847
2023-09-01,20.33898
2023-10-01,45.76271
2023-11-01,49.15254
2023-12-01,11.8644
2024-01-01,93.22033
2024-02-01,83.05084
2024-03-01,44.06779
2024-04-01,45.76271
2024-05-01,25.42372
2024-06-01,8.47457
2024-07-01,18.64406
2024-08-01,33.8983
2024-09-01,18.64406
2024-10-01,25.42372
2024-11-01,10.16949
2024-12-01,16.94915
2025-01-01,69.49152
2025-02-01,57.62711
2025-03-01,28.81355
2025-04-01,16.94915
2025-05-01,20.33898
2025-06-01,10.16949
2025-07-01,27.11864
2025-08-01,25.42372
2025-09-01,50.84745
2025-10-01,8.47457
2025-11-01,8.47457
2025-12-01,11.8644
2026-02-01,27.11864
2026-03-01,28.81355
2026-04-01,33.8983
2026-05-01,25.42372
