period,ratio,group
2023-01-01,5.55555,가성비 영양제
2023-02-01,2.5641,가성비 영양제
2023-03-01,3.63247,가성비 영양제
2023-04-01,6.19658,가성비 영양제
2023-05-01,3.63247,가성비 영양제
2023-06-01,7.05128,가성비 영양제
2023-08-01,1.06837,가성비 영양제
2023-10-01,2.13675,가성비 영양제
2023-11-01,1.06837,가성비 영양제
2023-12-01,1.49572,가성비 영양제
2024-01-01,2.13675,가성비 영양제
2024-02-01,3.4188,가성비 영양제
2024-03-01,4.48717,가성비 영양제
2024-04-01,4.70085,가성비 영양제
2024-05-01,1.06837,가성비 영양제
2024-07-01,1.28205,가성비 영양제
2024-08-01,3.20512,가성비 영양제
2024-09-01,2.35042,가성비 영양제
2024-10-01,1.06837,가성비 영양제
2024-11-01,1.28205,가성비 영양제
2024-12-01,1.06837,가성비 영양제
2025-01-01,6.41025,가성비 영양제
2025-02-01,2.13675,가성비 영양제
2025-03-01,2.35042,가성비 영양제
2025-04-01,1.06837,가성비 영양제
2025-05-01,2.5641,가성비 영양제
2025-08-01,2.13675,가성비 영양제
2025-09-01,3.20512,가성비 영양제
2025-10-01,1.06837,가성비 영양제
2025-11-01,1.06837,가성비 영양제
2026-02-01,3.4188,가성비 영양제
2026-03-01,2.5641,가성비 영양제
2026-04-01,4.2735,가성비 영양제
2026-05-01,3.20512,가성비 영양제
2023-01-01,3.84615,편의점영양제
2023-02-01,3.63247,편의점영양제
2023-03-01,2.5641,편의점영양제
2023-04-01,5.1282,편의점영양제
2023-05-01,13.24786,편의점영양제
2023-06-01,15.17094,편의점영양제
2023-07-01,12.39316,편의점영양제
2023-08-01,6.41025,편의점영양제
2023-09-01,15.81196,편의점영양제
2023-10-01,11.11111,편의점영양제
2023-11-01,7.05128,편의점영양제
2023-12-01,6.62393,편의점영양제
2024-01-01,11.32478,편의점영양제
2024-02-01,20.72649,편의점영양제
2024-03-01,31.8376,편의점영양제
2024-04-01,38.46153,편의점영양제
2024-05-01,36.96581,편의점영양제
2024-06-01,38.67521,편의점영양제
2024-07-01,42.73504,편의점영양제
2024-08-01,46.36752,편의점영양제
2024-09-01,62.17948,편의점영양제
2024-10-01,65.81196,편의점영양제
2024-11-01,52.99145,편의점영양제
2024-12-01,47.86324,편의점영양제
2025-01-01,44.44444,편의점영양제
2025-02-01,52.77777,편의점영양제
2025-03-01,85.89743,편의점영양제
2025-04-01,57.05128,편의점영양제
2025-05-01,65.59829,편의점영양제
2025-06-01,64.52991,편의점영양제
2025-07-01,65.17094,편의점영양제
2025-08-01,100.0,편의점영양제
2025-09-01,79.91452,편의점영양제
2025-10-01,73.29059,편의점영양제
2025-11-01,62.17948,편의점영양제
2025-12-01,46.36752,편의점영양제
2026-01-01,48.29059,편의점영양제
2026-02-01,43.37606,편의점영양제
2026-03-01,52.35042,편의점영양제
2026-04-01,58.76068,편의점영양제
2026-05-01,33.547,편의점영양제
2025-02-01,1.7094,저가영양제
2025-03-01,1.92307,저가영양제
