period,ratio,group
2023-01-01,78.78787,가성비영양제
2023-02-01,36.36363,가성비영양제
2023-03-01,51.51515,가성비영양제
2023-04-01,87.87878,가성비영양제
2023-05-01,51.51515,가성비영양제
2023-06-01,100.0,가성비영양제
2023-08-01,15.15151,가성비영양제
2023-10-01,30.30303,가성비영양제
2023-11-01,15.15151,가성비영양제
2023-12-01,21.21212,가성비영양제
2024-01-01,30.30303,가성비영양제
2024-02-01,48.48484,가성비영양제
2024-03-01,63.63636,가성비영양제
2024-04-01,66.66666,가성비영양제
2024-05-01,15.15151,가성비영양제
2024-07-01,18.18181,가성비영양제
2024-08-01,45.45454,가성비영양제
2024-09-01,33.33333,가성비영양제
2024-10-01,15.15151,가성비영양제
2024-11-01,18.18181,가성비영양제
2024-12-01,15.15151,가성비영양제
2025-01-01,90.90909,가성비영양제
2025-02-01,30.30303,가성비영양제
2025-03-01,33.33333,가성비영양제
2025-04-01,15.15151,가성비영양제
2025-05-01,36.36363,가성비영양제
2025-08-01,30.30303,가성비영양제
2025-09-01,45.45454,가성비영양제
2025-10-01,15.15151,가성비영양제
2025-11-01,15.15151,가성비영양제
2026-02-01,48.48484,가성비영양제
2026-03-01,36.36363,가성비영양제
2026-04-01,60.60606,가성비영양제
2026-05-01,45.45454,가성비영양제
