period,ratio,age_group
2024-01-01,25.0,20대
2024-02-01,87.5,20대
2024-03-01,87.5,20대
2024-04-01,75.0,20대
2024-05-01,12.5,20대
2024-08-01,100.0,20대
2024-11-01,25.0,20대
2024-12-01,25.0,20대
2025-01-01,37.5,20대
2025-02-01,37.5,20대
2025-03-01,87.5,20대
2025-04-01,12.5,20대
2025-08-01,12.5,20대
2025-09-01,37.5,20대
2025-10-01,37.5,20대
2026-02-01,37.5,20대
2026-03-01,12.5,20대
2026-04-01,62.5,20대
2026-05-01,62.5,20대
2024-01-01,22.22222,30대
2024-02-01,44.44444,30대
2024-03-01,33.33333,30대
2024-04-01,88.88888,30대
2024-05-01,22.22222,30대
2024-07-01,11.11111,30대
2024-08-01,55.55555,30대
2024-09-01,77.77777,30대
2024-10-01,33.33333,30대
2024-12-01,11.11111,30대
2025-01-01,100.0,30대
2025-02-01,55.55555,30대
2025-03-01,22.22222,30대
2025-04-01,22.22222,30대
2025-05-01,22.22222,30대
2025-08-01,77.77777,30대
2025-09-01,44.44444,30대
2025-11-01,22.22222,30대
2026-02-01,88.88888,30대
2026-03-01,44.44444,30대
2026-04-01,77.77777,30대
2026-05-01,11.11111,30대
2024-01-01,62.5,40대
2024-02-01,62.5,40대
2024-03-01,37.5,40대
2024-04-01,50.0,40대
2024-07-01,12.5,40대
2024-08-01,25.0,40대
2024-09-01,12.5,40대
2024-10-01,12.5,40대
2024-11-01,12.5,40대
2025-01-01,87.5,40대
2025-02-01,12.5,40대
2025-03-01,25.0,40대
2025-05-01,50.0,40대
2025-08-01,12.5,40대
2025-09-01,62.5,40대
2025-11-01,12.5,40대
2026-03-01,12.5,40대
2026-04-01,100.0,40대
2026-05-01,25.0,40대
