period,ratio,group
2024-01-01,0.63357,프리미엄영양제
2024-03-01,0.63357,프리미엄영양제
2024-04-01,1.79514,프리미엄영양제
2024-05-01,0.52798,프리미엄영양제
2024-10-01,6.65258,프리미엄영양제
2024-12-01,0.52798,프리미엄영양제
2025-01-01,1.26715,프리미엄영양제
2025-02-01,0.52798,프리미엄영양제
2025-03-01,100.0,프리미엄영양제
2025-04-01,1.79514,프리미엄영양제
2025-05-01,0.63357,프리미엄영양제
2025-09-01,1.58394,프리미엄영양제
2025-10-01,7.18057,프리미엄영양제
2025-11-01,31.36219,프리미엄영양제
2025-12-01,32.20696,프리미엄영양제
2026-01-01,33.47412,프리미엄영양제
2026-02-01,39.80992,프리미엄영양제
2026-03-01,33.15733,프리미엄영양제
2026-04-01,27.9831,프리미엄영양제
2026-05-01,16.78986,프리미엄영양제
2024-01-01,1.05596,가성비영양제
2024-02-01,1.68954,가성비영양제
2024-03-01,2.21752,가성비영양제
2024-04-01,2.32312,가성비영양제
2024-05-01,0.52798,가성비영양제
2024-07-01,0.63357,가성비영양제
2024-08-01,1.58394,가성비영양제
2024-09-01,1.16156,가성비영양제
2024-10-01,0.52798,가성비영양제
2024-11-01,0.63357,가성비영양제
2024-12-01,0.52798,가성비영양제
2025-01-01,3.16789,가성비영양제
2025-02-01,1.05596,가성비영양제
2025-03-01,1.16156,가성비영양제
2025-04-01,0.52798,가성비영양제
2025-05-01,1.26715,가성비영양제
2025-08-01,1.05596,가성비영양제
2025-09-01,1.58394,가성비영양제
2025-10-01,0.52798,가성비영양제
2025-11-01,0.52798,가성비영양제
2026-02-01,1.68954,가성비영양제
2026-03-01,1.26715,가성비영양제
2026-04-01,2.11193,가성비영양제
2026-05-01,1.58394,가성비영양제
