period,ratio,age_group
2024-01-01,12.77777,20대
2024-02-01,19.44444,20대
2024-03-01,36.66666,20대
2024-04-01,50.55555,20대
2024-05-01,45.55555,20대
2024-06-01,45.0,20대
2024-07-01,55.0,20대
2024-08-01,56.66666,20대
2024-09-01,71.11111,20대
2024-10-01,83.88888,20대
2024-11-01,73.33333,20대
2024-12-01,62.77777,20대
2025-01-01,57.22222,20대
2025-02-01,60.55555,20대
2025-03-01,86.11111,20대
2025-04-01,73.33333,20대
2025-05-01,60.0,20대
2025-06-01,61.66666,20대
2025-07-01,67.77777,20대
2025-08-01,100.0,20대
2025-09-01,65.0,20대
2025-10-01,72.77777,20대
2025-11-01,56.66666,20대
2025-12-01,45.55555,20대
2026-01-01,48.33333,20대
2026-02-01,37.77777,20대
2026-03-01,42.77777,20대
2026-04-01,67.77777,20대
2026-05-01,32.22222,20대
2024-01-01,10.07751,30대
2024-02-01,22.48062,30대
2024-03-01,28.68217,30대
2024-04-01,34.88372,30대
2024-05-01,37.98449,30대
2024-06-01,33.33333,30대
2024-07-01,31.00775,30대
2024-08-01,39.53488,30대
2024-09-01,64.34108,30대
2024-10-01,52.71317,30대
2024-11-01,49.6124,30대
2024-12-01,47.28682,30대
2025-01-01,44.96124,30대
2025-02-01,48.8372,30대
2025-03-01,80.62015,30대
2025-04-01,48.8372,30대
2025-05-01,68.99224,30대
2025-06-01,71.31782,30대
2025-07-01,63.56589,30대
2025-08-01,100.0,30대
2025-09-01,89.14728,30대
2025-10-01,67.44186,30대
2025-11-01,61.24031,30대
2025-12-01,41.86046,30대
2026-01-01,44.18604,30대
2026-02-01,53.48837,30대
2026-03-01,65.11627,30대
2026-04-01,53.48837,30대
2026-05-01,41.08527,30대
2024-01-01,7.24637,40대
2024-02-01,20.28985,40대
2024-03-01,14.49275,40대
2024-04-01,26.08695,40대
2024-05-01,30.43478,40대
2024-06-01,31.88405,40대
2024-07-01,34.7826,40대
2024-08-01,44.92753,40대
2024-09-01,42.02898,40대
2024-10-01,36.23188,40대
2024-11-01,27.53623,40대
2024-12-01,36.23188,40대
2025-01-01,36.23188,40대
2025-02-01,49.27536,40대
2025-03-01,78.26086,40대
2025-04-01,40.57971,40대
2025-05-01,81.15942,40대
2025-06-01,66.66666,40대
2025-07-01,78.26086,40대
2025-08-01,94.20289,40대
2025-09-01,100.0,40대
2025-10-01,79.71014,40대
2025-11-01,71.01449,40대
2025-12-01,47.82608,40대
2026-01-01,59.42028,40대
2026-02-01,49.27536,40대
2026-03-01,57.97101,40대
2026-04-01,62.31884,40대
2026-05-01,43.47826,40대
