post_id,platform,search_keyword,title,content,price,upload_date,view_count,like_count,comment_count
229380982,중고나라,잠깐 사용,시나모 학사모자인형등 여러가지 있습 잠깐 사용 예쁜니다 귀여워요 비싸게 구매했습 편하게 보세요 전체세트 15000,필요하신 분들은 편하게 보세요 선물해도 좋아요 직거래 가능해요,15000,2026.06.19,6,0,0
228834387,중고나라,잠깐 사용,시나모 학사모자인형등 여러가지 있습 잠깐 사용 예쁜니다 귀여워요 비싸게 구매했습 편하게 보세요 전체세트 15000,필요하신 분들은 편하게 보세요 직거래 가능해요,15000,2026.06.05,12,0,0
228625209,중고나라,잠깐 사용,줄서기 의자.낚시캠핑접이식의자잠깐사용해 본거라 거의새거에요높이도 원하는데로조절되고갖고다니기편해요(무료배송 ㅡ구매5천,"줄서기 의자.낚시캠핑접이식의자
잠깐사용해 본거라 거의새거에요
높이도 원하는데로조절되고
갖고다니기편해요

(무료배송 ㅡ구매5천원이상시.선불)
 옥정동,삼숭동 무료
그외동네는 유료.택배에요^^",5,2026.05.30,24,0,0
228140326,중고나라,잠깐 사용,시나모 학사모자인형등 여러가지 있습 잠깐 사용 예쁜니다 귀여워요 비싸게 구매했습 편하게 보세요 전체세트 15000,필요하신 분들은 편하게 보세요 직거래 가능해요,15000,2026.05.21,8,0,0
228453705,중고나라,잠깐 사용,크리에이티브 PEBBLE 2.0 스피커 화이트 판매합니다.(테스트용으로 잠깐 사용),,2000,2026.05.14,27,0,2
228322992,중고나라,잠깐 사용,우산 겸 양산 (잠깐 사용하던것),,4000,2026.05.06,10,0,0
227954589,중고나라,잠깐 사용,가격더내림@부산@무료배송@ 잠깐사용 SSS급 갤럭시탭S10울트라 256GB,,1080000,2026.05.02,210,4,2
227552714,중고나라,잠깐 사용,시나모 학사모자인형등 여러가지 있습 잠깐 사용 예쁜니다 귀여워요 비싸게 구매했습 편하게 보세요 전체세트 15000,비싸게 구매했습니다 저렴 판매해요 필요하신 분들은 편하게 보세요 직거래 가능해요,15000,2026.04.26,15,0,0
227239058,중고나라,잠깐 사용,시나모 학사모자인형등 여러가지 있습 잠깐 사용 예쁜니다 귀여워요 비싸게 구매했습 편하게 보세요 전체세트 15000,필요하신 분들은 편하게 보세요 직거래 가능해요,15000,2026.04.19,18,0,0
225587831,중고나라,잠깐 사용,시나모 학사모자인형등 여러가지 있습 잠깐 사용 예쁜니다 귀여워요 비싸게 구매했습 졸업식입학등편하게사용하세요15000,필요하신 분들은 편하게 보세요 직거래 가능해요 전체세트 15000원 입니다 저렴판매해요,15000,2026.03.10,25,0,0
225336398,중고나라,잠깐 사용,시나모 학사모자인형등 예쁜니다 잠깐 사용 졸업 입학식 등 여러가지 사용해요 편하게 보세요 세트 15000,필요하신 분들은 편하게 보세요 직거래 가능해요,15000,2026.03.02,21,0,0
225828800,중고나라,잠깐 사용,니노필로우 m 두상베게 (재당근x) 여아 잠깐 사용,,45000,2026.03.02,26,0,1
