segment_type,segment,n,preference_rate,strong_rate,composite_rate,avg_pain,avg_move_freq
occupation,자영업자,7,1.0,0.7142857142857143,1.0,4.142857142857143,3.142857142857143
occupation,직장인,26,1.0,0.34615384615384615,1.0,4.230769230769231,2.6538461538461537
occupation,대학생,48,0.8958333333333334,0.3541666666666667,0.75,3.8125,2.25
occupation,취업 준비 중,19,0.8421052631578947,0.3157894736842105,0.8421052631578947,4.0,2.473684210526316
occupation,프리랜서,5,0.4,0.0,0.4,3.0,1.6
occupation,무직,1,0.0,0.0,0.0,3.0,2.0
segment_main,main_student,48,0.8958333333333334,0.3541666666666667,0.75,3.8125,2.25
segment_main,expansion_non_student,58,0.8793103448275862,0.3448275862068966,0.8793103448275862,4.017241379310345,2.5517241379310347
segment_stp,B_계절근로_자영업,7,1.0,0.7142857142857143,1.0,4.142857142857143,3.142857142857143
segment_stp,C_장기출장_직장인,26,1.0,0.34615384615384615,1.0,4.230769230769231,2.6538461538461537
segment_stp,A_기숙사생_대학생,48,0.8958333333333334,0.3541666666666667,0.75,3.8125,2.25
segment_stp,expansion_취준생,19,0.8421052631578947,0.3157894736842105,0.8421052631578947,4.0,2.473684210526316
segment_stp,B_계절근로_프리랜서,5,0.4,0.0,0.4,3.0,1.6
segment_stp,expansion_기타,1,0.0,0.0,0.0,3.0,2.0
