No,공연명,공연장,공연기간
1,판,동덕여자대학교 공연예술센터 코튼홀,2025.12.23 - 2026.03.08
2,트레이스 유,링크아트센터 벅스홀,2025.12.04 - 2026.03.01
3,ROGER,NOL 서경스퀘어 스콘 2관,2026.03.05 - 2026.05.31
4,위키드(WICKED The Musical) - 대구,계명아트센터,2026.02.05 - 2026.03.01
5,A여고 사서의 영광과 비극,링크아트센터드림 드림2관,2026.01.27 - 2026.04.26
6,이터니티,NOL 유니플렉스 1관,2025.12.27 - 2026.03.15
7,제임스 바이런 딘,극장 온,2026.01.09 - 2026.03.01
8,전설의 리틀 농구단,플러스씨어터,2026.03.10 - 2026.05.25
9,너를 위한 글자,링크아트센터드림 드림4관,2026.03.04 - 2026.05.31
10,디아길레프,예스24아트원 1관,2026.03.31 - 2026.06.14
11,로미오와 줄리엣,한전아트센터,2026.03.24 - 2026.05.31
12,"태권, 날아올라",국립중앙박물관 극장 용,2026.04.04 - 2026.05.31
13,로빈,대학로 TOM(티오엠) 1관,2025.12.01 - 2026.03.01
14,존 도우,NOL 서경스퀘어 스콘 1관,2025.12.10 - 2026.03.01
15,시지프스,예스24스테이지 2관,2025.12.16 - 2026.03.08
16,타오르는 어둠 속에서,링크아트센터 페이코홀,2025.12.10 - 2026.03.08
17,난쟁이들,플러스씨어터,2025.11.05 - 2026.03.01
18,말리,백암아트홀,2025.12.20 - 2026.02.15
19,캐빈,et theatre 1 (이티 씨어터 원),2025.11.27 - 2026.03.01
20,은하철도의 밤,예스24스테이지 1관,2025.12.23 - 2026.03.15
