period,ratio,group
2024-01-01,0.33259,프리미엄영양제
2024-03-01,0.33259,프리미엄영양제
2024-04-01,0.94235,프리미엄영양제
2024-05-01,0.27716,프리미엄영양제
2024-10-01,3.49223,프리미엄영양제
2024-12-01,0.27716,프리미엄영양제
2025-01-01,0.66518,프리미엄영양제
2025-02-01,0.27716,프리미엄영양제
2025-03-01,52.49445,프리미엄영양제
2025-04-01,0.94235,프리미엄영양제
2025-05-01,0.33259,프리미엄영양제
2025-09-01,0.83148,프리미엄영양제
2025-10-01,3.7694,프리미엄영양제
2025-11-01,16.46341,프리미엄영양제
2025-12-01,16.90687,프리미엄영양제
2026-01-01,17.57206,프리미엄영양제
2026-02-01,20.898,프리미엄영양제
2026-03-01,17.40576,프리미엄영양제
2026-04-01,14.68957,프리미엄영양제
2026-05-01,8.81374,프리미엄영양제
2024-01-01,77.60532,약국영양제
2024-02-01,83.98004,약국영양제
2024-03-01,88.80266,약국영양제
2024-04-01,93.6807,약국영양제
2024-05-01,100.0,약국영양제
2024-06-01,81.76274,약국영양제
2024-07-01,81.04212,약국영양제
2024-08-01,88.13747,약국영양제
2024-09-01,90.57649,약국영양제
2024-10-01,81.92904,약국영양제
2024-11-01,78.6031,약국영양제
2024-12-01,73.17073,약국영양제
2025-01-01,79.43458,약국영양제
2025-02-01,73.72505,약국영양제
2025-03-01,85.47671,약국영양제
2025-04-01,79.26829,약국영양제
2025-05-01,86.97339,약국영양제
2025-06-01,66.51884,약국영양제
2025-07-01,98.28159,약국영양제
2025-08-01,88.52549,약국영양제
2025-09-01,83.25942,약국영양제
2025-10-01,79.49002,약국영양제
2025-11-01,74.39024,약국영양제
2025-12-01,62.69401,약국영양제
2026-01-01,58.53658,약국영양제
2026-02-01,58.25942,약국영양제
2026-03-01,54.93348,약국영양제
2026-04-01,58.14855,약국영양제
2026-05-01,32.03991,약국영양제
2024-01-01,3.49223,비싼영양제
2024-02-01,1.21951,비싼영양제
2024-03-01,0.88691,비싼영양제
2024-04-01,3.2705,비싼영양제
2024-05-01,1.21951,비싼영양제
2024-06-01,1.66297,비싼영양제
2024-07-01,0.27716,비싼영양제
2024-08-01,0.38802,비싼영양제
2024-09-01,2.21729,비싼영양제
2024-10-01,0.66518,비싼영양제
2024-11-01,1.49667,비싼영양제
2024-12-01,1.10864,비싼영양제
2025-01-01,1.8847,비싼영양제
2025-03-01,0.55432,비싼영양제
2025-04-01,0.33259,비싼영양제
2025-05-01,0.27716,비싼영양제
2025-06-01,0.33259,비싼영양제
2025-07-01,0.99778,비싼영양제
2025-08-01,0.60975,비싼영양제
2025-10-01,0.27716,비싼영양제
2025-11-01,0.38802,비싼영양제
2026-01-01,0.33259,비싼영양제
2026-02-01,0.55432,비싼영양제
2026-03-01,0.60975,비싼영양제
2024-01-01,4.82261,고급비타민
2024-02-01,3.88026,고급비타민
2024-03-01,3.10421,고급비타민
2024-04-01,2.32815,고급비타민
2024-05-01,4.37915,고급비타민
2024-06-01,1.21951,고급비타민
2024-07-01,2.71618,고급비타민
2024-08-01,1.99556,고급비타민
2024-09-01,2.38359,고급비타민
2024-10-01,0.83148,고급비타민
2024-11-01,0.99778,고급비타민
2024-12-01,1.10864,고급비타민
2025-01-01,1.7184,고급비타민
2025-02-01,1.3858,고급비타민
2025-03-01,1.27494,고급비타민
2025-04-01,0.60975,고급비타민
2025-05-01,2.77161,고급비타민
2025-06-01,0.55432,고급비타민
2025-07-01,0.27716,고급비타민
2025-09-01,1.82926,고급비타민
2025-10-01,1.27494,고급비타민
2025-11-01,1.10864,고급비타민
2025-12-01,0.88691,고급비타민
2026-01-01,0.27716,고급비타민
2026-02-01,1.21951,고급비타민
2026-03-01,0.66518,고급비타민
2026-04-01,0.83148,고급비타민
2026-05-01,0.27716,고급비타민
